,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
26,318.6097849433681,331.5584141794943,333.09140126757666,319.48086755407627,312.7117917284321,317.67646541257926,320.5148165739529,321.03345388751154,329.39164691458154,317.34742725602683
27,311.1829846752379,310.38484980312217,312.0482058397824,316.339953874476,315.33576008939474,315.017157313207,309.8914744911343,309.86122886681096,310.79222643120335,310.9606387970871
28,319.7809080299139,325.0021414940193,328.2255966942486,320.35782288802284,318.28160459843616,324.03416704428037,317.757976042778,324.69625133239515,317.81951510570997,323.08174864655007
29,327.8521407489626,326.37473424857626,342.7367006479434,324.8625615243024,333.5648778640875,320.7744814079351,320.6811844920445,328.656155469304,322.1664482263193,325.7851138778511
30,326.9246208941746,336.25324822426273,319.631280536644,325.5988401272842,334.1522987997173,315.64408819010015,324.2399485128926,328.070469960615,329.3415690377985,321.51306972761864
31,328.2360877832675,327.0149725256174,323.06171195604406,321.5392978467762,336.923737803191,315.94901845218067,317.58464276993675,343.405247378739,319.72336937565376,317.4432346651473
32,326.9695073068972,327.32836655726237,326.44436020070907,322.2300248262957,330.0117171245761,334.88014876594,320.86196681514417,322.2648597974361,316.758111677943,319.82993325141854
33,329.62907654459207,331.6663376131921,322.6976111492884,323.12970589477686,319.0591945790286,315.5317519169362,316.1440299115426,324.1494894937483,320.8848157127481,324.15595875936856
34,334.6963679906609,321.81707902270085,339.43879967931423,333.51008952791074,322.7934722322072,323.63628793050657,321.00497483638475,329.4466109172391,332.8768614292657,320.8465425629819
35,335.75407436654893,337.76415850028593,327.1450950725016,319.6422683175985,336.23170592247084,322.49408192338853,323.67866556862384,335.3526817386571,320.18451739703187,322.61622995642443
36,339.230713465566,320.8155313633954,321.9812787906945,320.3475043624023,325.6890949897004,325.568725557608,317.22891371292144,325.5362683876417,318.4983349525239,327.65933243278414
37,339.27748988944234,321.81048395746353,338.4289250672356,324.693047986033,331.8931381017808,319.91118898026264,322.5950010597756,325.9046177155454,326.38490249276316,316.3740136849766
38,332.8339306468597,325.0129267926501,319.1112385712148,319.790804208216,329.94591201334356,322.1681446484117,322.37373475636224,325.02968990105774,324.41724413456245,324.35945583186174
39,329.48281497788395,320.85777643747554,320.47577793116716,326.6541328519342,326.70216563836556,317.8591352817856,316.95189522904536,315.76293319603246,329.12833175116316,322.0105378067439
40,320.19598723778796,332.65664244703055,335.5928037430763,320.26274926637274,322.8036518792918,315.5701913023781,315.9220297406717,325.90964109297704,315.2015949186157,328.25841136388306
41,328.6960016323673,325.26333070353235,324.46827100488906,319.7786534425435,326.1660622222056,319.9713242045895,311.75597952388875,326.6709519606469,310.49210050811354,314.03143289063564
42,325.5068635191412,334.7776370367092,316.7428503908404,322.60147583600724,334.054774280188,324.519400561765,316.6358994671879,332.06606760992554,315.0514512603998,323.5953754096131
43,320.7137895809965,334.20829423786756,327.239636129908,315.0838636861739,323.1808166664419,319.9444734322818,321.3853125564239,328.0051740241068,318.78657293268714,322.77011937605386
