,w_model,baseline
262,3.0800000000000005,3.78
263,2.6200000000000006,3.8699999999999997
264,3.3,1.08
265,2.1600000000000006,2.3400000000000003
266,6.23,0.3
267,4.49,2.3
268,3.0300000000000002,0.7000000000000001
269,3.4200000000000004,2.55
270,1.24,1.1
271,1.14,2.0
272,4.2,3.2700000000000005
273,2.7700000000000005,3.1199999999999997
274,4.220000000000001,3.2
275,3.9700000000000006,3.5699999999999994
276,2.3900000000000006,5.22
277,4.5,0.27
278,3.6,1.03
279,3.6300000000000003,2.0700000000000003
280,2.6300000000000003,0.81
281,3.3700000000000006,6.0
282,3.9,5.0
283,4.46,3.0
284,1.8599999999999999,4.46
285,3.9,2.6499999999999995
286,3.5,4.18
287,6.4,2.55
288,3.1000000000000005,2.6599999999999997
289,4.760000000000001,5.18
290,3.6200000000000006,2.2499999999999996
291,2.5200000000000005,4.430000000000001
292,2.8000000000000003,2.4999999999999996
293,3.4,1.8
294,4.130000000000001,2.2300000000000004
295,0.6,2.4799999999999995
296,2.3600000000000003,1.85
297,3.6300000000000003,4.7
298,2.5600000000000005,1.79
299,4.74,2.3999999999999995
300,3.8100000000000005,3.3500000000000005
301,4.32,4.3999999999999995
302,2.0,4.18
303,4.550000000000001,2.3399999999999994
304,3.3800000000000003,4.04
305,3.0300000000000002,1.73
306,2.5800000000000005,2.7800000000000002
307,3.9,5.069999999999999
308,3.2500000000000004,2.8
309,2.7900000000000005,3.7
310,2.4,4.6899999999999995
311,1.22,4.159999999999999
312,2.3000000000000003,1.55
313,3.4,1.5
314,4.0600000000000005,1.73
315,5.550000000000001,3.7899999999999996
316,1.8,3.22
317,3.6600000000000006,1.1300000000000001
318,1.9,2.7
319,3.8700000000000006,2.5699999999999994
320,2.0,4.93
321,0.6,3.7500000000000004
322,4.260000000000001,2.8199999999999994
323,3.9100000000000006,3.4799999999999995
324,4.590000000000001,4.32
325,0.6,4.46
326,1.3699999999999999,3.0699999999999994
327,2.6800000000000006,2.0200000000000005
328,3.9,1.1
329,2.45,3.96
330,2.3,2.4
331,1.44,1.86
332,2.45,4.880000000000001
333,2.97,3.3400000000000003
334,3.5100000000000002,4.23
335,2.5,0.9400000000000001
336,1.8,1.12
337,2.6600000000000006,0.5900000000000001
338,4.29,1.4
339,1.7,2.6
340,4.08,4.29
341,3.1600000000000006,2.51
342,2.8,3.6700000000000004
343,4.2,3.8099999999999996
344,2.99,3.51
345,2.0,1.07
346,2.3300000000000005,1.19
347,5.260000000000001,1.5
348,4.25,3.2800000000000002
349,1.7,3.1
350,3.47,4.3
351,4.07,3.4
352,1.2,4.3
353,3.5500000000000003,4.9
354,1.0,0.18
355,2.3600000000000003,2.3299999999999996
356,3.3,2.9
357,2.97,4.2
358,4.2,2.3299999999999996
359,3.3900000000000006,4.1000000000000005
360,5.880000000000001,2.5
361,3.8100000000000005,1.8299999999999998
362,0.9,4.3
363,3.8600000000000003,4.42
364,3.3,3.6699999999999995
365,2.6600000000000006,3.9000000000000004
366,0.9,0.8
367,4.680000000000001,2.6799999999999997
368,4.48,3.7700000000000005
369,3.99,2.2
370,4.2,3.5
371,2.8100000000000005,4.56
372,2.1300000000000003,3.1700000000000004
373,4.890000000000001,4.9799999999999995
374,4.510000000000001,3.8500000000000005
375,3.6900000000000004,5.9799999999999995
376,5.390000000000001,1.8
377,1.4,2.1800000000000006
378,0.7,4.1000000000000005
379,3.1600000000000006,3.5799999999999996
380,4.590000000000001,0.6000000000000001
381,2.4800000000000004,2.2
382,2.1500000000000004,2.9499999999999997
383,3.4800000000000004,3.0
384,4.16,2.1099999999999994
385,1.1,1.96
386,2.3700000000000006,3.5799999999999996
387,2.95,4.11
388,2.2,2.9
389,3.8200000000000003,4.37
390,2.4800000000000004,4.609999999999999
391,2.0100000000000002,1.96
392,1.4,2.5899999999999994
393,1.4,2.28
394,3.5,4.8
