,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
34,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634,321.62864976013634
35,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286,318.8108310856286
36,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713,321.27562125409713
37,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313,314.5245703255313
38,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848,328.1038641166848
39,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797,296.85447791358797
40,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695,308.7808742563695
41,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673,304.3165664707673
42,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833,311.0138160790833
43,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496,327.48090364282496
